ID,loan_purpose,borrower_employment_length,borrower_age,borrower_home_ownership,borrower_income,loan_rating,loan_amount,loan_rate,loan_status,loan_to_income_percent,cb_person_default_on_file,cb_person_cred_hist_length,rem_term
50,DEBTCONSOLIDATION,0,26,RENT,89028,A,30000,6.62,1,0.34,N,3,60
51,DEBTCONSOLIDATION,4,24,RENT,78000,D,30000,11.14,1,0.38,Y,4,60
52,DEBTCONSOLIDATION,7,23,RENT,78000,F,30000,18.62,1,0.38,Y,3,60
53,PERSONAL,6,23,RENT,92004,C,30000,15.23,1,0.33,Y,3,36
54,VENTURE,7,23,RENT,97000,B,30000,10.65,1,0.31,N,2,60
55,EDUCATION,9,25,RENT,120000,A,30000,7.9,0,0.25,N,4,60
56,PERSONAL,4,26,RENT,280000,C,10000,15.96,0,0.04,Y,3,36
57,VENTURE,0,26,RENT,277104,B,20000,11.48,0,0.07,N,3,36
58,PERSONAL,3,23,OWN,277000,A,35000,12.87,0,0.13,N,4,36
59,PERSONAL,9,25,RENT,128000,A,30000,7.29,0,0.23,N,4,36
60,VENTURE,2,24,OWN,12000,E,1750,15.23,0,0.15,Y,3,36
61,VENTURE,0,21,RENT,131000,A,30000,5.99,0,0.23,N,4,60
62,VENTURE,6,22,OWN,275000,B,12000,11.58,0,0.04,N,2,60
63,EDUCATION,0,26,MORTGAGE,263000,B,10000,14.27,1,0.04,N,4,36
64,MEDICAL,9,25,MORTGAGE,221850,D,25000,15.7,1,0.1,N,2,60
65,EDUCATION,6,22,RENT,70000,D,29100,15.99,1,0.42,N,3,36
66,EDUCATION,7,22,MORTGAGE,12000,D,1500,14.84,0,0.13,Y,3,60
67,HOMEIMPROVEMENT,10,26,OWN,260000,B,28000,10.99,0,0.11,N,3,60
68,HOMEIMPROVEMENT,9,25,MORTGAGE,259000,D,20000,14.42,0,0.08,Y,2,36
69,EDUCATION,9,24,MORTGAGE,255000,A,9600,6.99,0,0.04,N,2,60
70,MEDICAL,2,25,RENT,250000,C,25000,13.49,0,0.1,N,4,60
71,MEDICAL,0,25,OWN,12000,C,3000,7.14,1,0.25,N,3,60
72,MEDICAL,6,22,RENT,56950,A,28000,12.42,1,0.49,N,2,60
73,EDUCATION,6,21,OWN,12000,C,3000,13.61,1,0.25,Y,3,60
74,EDUCATION,2,23,RENT,65000,A,28000,7.9,1,0.43,N,2,60
75,VENTURE,2,26,RENT,85000,A,28000,7.49,1,0.33,N,3,60
76,EDUCATION,2,26,OWN,12000,A,6100,7.51,1,0.51,N,3,36
77,VENTURE,6,22,RENT,88000,B,28000,9.91,1,0.32,N,3,36
78,PERSONAL,0,21,OWN,12000,C,4200,13.48,1,0.35,Y,4,60
79,DEBTCONSOLIDATION,6,22,OWN,12000,A,4750,7.14,1,0.4,N,2,36
80,VENTURE,0,24,RENT,83004,D,28000,15.99,1,0.34,Y,4,36
81,EDUCATION,2,24,RENT,250000,C,18000,12.98,0,0.07,Y,3,60
82,VENTURE,4,144,RENT,250000,C,4800,13.57,0,0.02,N,3,60
83,DEBTCONSOLIDATION,5,25,RENT,100000,B,28000,12.69,0,0.28,N,3,36
84,EDUCATION,10,26,RENT,110000,A,28000,8.9,0,0.25,N,2,36
85,DEBTCONSOLIDATION,0,26,OWN,12000,A,2700,11.11,1,0.23,N,4,60
86,EDUCATION,6,22,RENT,108000,B,28000,8.9,1,0.26,N,4,36
87,DEBTCONSOLIDATION,7,23,RENT,151200,B,28000,11.11,0,0.19,N,2,36
88,HOMEIMPROVEMENT,2,24,RENT,69000,A,27600,14.74,1,0.4,N,2,60
89,DEBTCONSOLIDATION,5,21,MORTGAGE,12000,E,3250,15.68,1,0.27,Y,3,36
90,EDUCATION,4,22,RENT,70000,C,27500,13.06,1,0.39,Y,3,36
91,PERSONAL,6,22,OWN,240000,B,25000,10.37,0,0.1,N,2,36
92,VENTURE,5,26,RENT,73200,D,27050,15.62,1,0.37,Y,2,36
93,PERSONAL,5,24,RENT,83000,C,27000,13.49,1,0.33,Y,2,36
94,VENTURE,0,24,RENT,73399,D,27000,8.63,1,0.37,N,3,36
95,MEDICAL,7,23,RENT,62500,B,26000,11.71,1,0.42,N,2,36
96,EDUCATION,1,23,RENT,120000,B,25600,12.69,0,0.21,N,3,36
97,MEDICAL,2,24,OWN,12360,C,1600,13.57,0,0.13,N,3,60
98,VENTURE,0,22,RENT,60000,B,25475,10.99,1,0.42,N,3,60
99,MEDICAL,3,25,MORTGAGE,234000,C,20000,14.27,0,0.09,Y,4,36
100,HOMEIMPROVEMENT,8,24,OWN,234000,B,20000,8.88,0,0.09,N,4,36
101,HOMEIMPROVEMENT,10,26,MORTGAGE,234000,B,21600,12.18,0,0.09,N,3,60
102,DEBTCONSOLIDATION,6,25,MORTGAGE,221004,D,11900,14.42,1,0.05,Y,3,36
103,MEDICAL,0,26,MORTGAGE,232500,C,25000,14.17,0,0.11,Y,2,60
104,MEDICAL,5,25,MORTGAGE,230000,C,35000,13.99,0,0.15,N,4,60
105,EDUCATION,7,23,RENT,83000,B,25300,10.99,1,0.3,N,3,36
106,PERSONAL,,22,MORTGAGE,12600,A,2000,5.42,1,0.16,N,4,60
107,PERSONAL,3,25,OWN,12600,C,1750,13.61,0,0.14,N,3,60
108,EDUCATION,3,21,RENT,42500,C,25000,12.73,1,0.59,Y,3,36
109,HOMEIMPROVEMENT,2,24,RENT,41000,D,25000,7.9,1,0.61,N,3,36
110,DEBTCONSOLIDATION,0,25,OWN,12816,C,3000,12.87,1,0.23,Y,4,36
111,HOMEIMPROVEMENT,1,24,MORTGAGE,12960,B,3650,9.91,1,0.28,N,3,60
112,HOMEIMPROVEMENT,4,26,MORTGAGE,226000,B,20000,11.49,0,0.09,N,4,60
113,HOMEIMPROVEMENT,0,25,MORTGAGE,225000,E,30000,19.91,0,0.13,Y,2,36
114,EDUCATION,6,26,MORTGAGE,213000,B,35000,10.65,1,0.16,N,2,60
115,MEDICAL,0,24,RENT,225000,B,6000,18.39,0,0.03,N,4,60
116,DEBTCONSOLIDATION,0,24,MORTGAGE,12960,B,4500,11.83,1,0.35,N,4,60
117,DEBTCONSOLIDATION,0,23,OWN,12996,C,2400,13.49,1,0.18,Y,2,60
118,MEDICAL,6,22,RENT,42000,D,25000,14.59,1,0.6,Y,2,60
119,EDUCATION,2,26,RENT,48000,B,25000,9.64,1,0.52,N,4,36
120,MEDICAL,1,25,OWN,12996,D,3600,14.59,1,0.28,N,3,36
121,EDUCATION,1,22,OWN,12996,B,4750,7.9,1,0.37,N,3,36
122,EDUCATION,1,25,RENT,42360,E,25000,16.35,1,0.59,Y,3,36
123,EDUCATION,4,21,RENT,49000,B,25000,10.99,1,0.51,N,2,36
124,VENTURE,0,25,MORTGAGE,225000,F,25000,18.67,0,0.11,N,2,36
125,EDUCATION,1,26,RENT,225000,A,3000,9.32,0,0.01,N,4,36
126,DEBTCONSOLIDATION,8,23,RENT,225000,A,7500,8.63,0,0.03,N,2,60
127,VENTURE,2,26,MORTGAGE,225000,B,25000,10.08,0,0.11,N,2,60
128,PERSONAL,5,22,RENT,49464,B,25000,11.83,1,0.51,N,3,60
129,DEBTCONSOLIDATION,1,23,RENT,50000,A,25000,7.9,1,0.5,N,3,36
130,HOMEIMPROVEMENT,4,25,RENT,50000,A,25000,5.99,1,0.5,N,2,36
131,DEBTCONSOLIDATION,2,24,RENT,44000,D,25000,15.33,1,0.57,N,2,36
132,VENTURE,1,23,RENT,50000,B,25000,11.83,1,0.5,N,4,36
133,VENTURE,0,22,RENT,50004,B,25000,10.36,1,0.5,N,2,60
134,VENTURE,3,22,RENT,50004,C,25000,12.23,1,0.5,N,3,36
135,EDUCATION,2,22,RENT,52000,B,25000,11.11,1,0.48,N,4,36
136,DEBTCONSOLIDATION,3,23,OWN,13200,A,4950,7.9,1,0.38,N,4,36
137,EDUCATION,1,24,MORTGAGE,220000,B,25000,11.58,0,0.11,N,2,36
138,DEBTCONSOLIDATION,5,23,MORTGAGE,216000,A,21000,8.9,0,0.1,N,3,36
139,EDUCATION,2,25,MORTGAGE,216000,D,25000,16.07,0,0.12,N,3,36
140,EDUCATION,10,26,MORTGAGE,216000,C,20000,14.22,0,0.09,Y,2,36
141,MEDICAL,7,23,MORTGAGE,215000,C,35000,14.79,0,0.16,Y,3,60
142,EDUCATION,11,26,MORTGAGE,215000,A,12000,7.88,0,0.06,N,2,60
143,PERSONAL,1,23,RENT,52000,C,25000,13.22,1,0.48,N,2,36
144,DEBTCONSOLIDATION,2,26,RENT,46000,D,25000,11.86,1,0.54,N,4,60
145,EDUCATION,5,22,RENT,53000,C,25000,13.43,1,0.47,Y,4,60
146,HOMEIMPROVEMENT,0,26,RENT,47000,D,25000,15.28,1,0.53,Y,2,60
147,VENTURE,1,23,RENT,47000,E,25000,17.93,1,0.53,N,2,60
148,EDUCATION,2,23,MORTGAGE,13200,B,1400,9.25,0,0.11,N,4,36
149,VENTURE,0,21,OWN,13200,C,4500,12.98,1,0.34,N,4,60
150,VENTURE,6,22,MORTGAGE,210000,B,16000,10.62,0,0.08,N,4,36
151,PERSONAL,10,26,OWN,210000,B,22000,11.83,0,0.1,N,4,60
152,VENTURE,5,26,RENT,48000,F,25000,18.43,1,0.52,N,2,60
153,EDUCATION,6,22,RENT,54996,B,25000,10.65,1,0.45,N,4,60
154,HOMEIMPROVEMENT,4,24,RENT,55000,D,25000,7.9,1,0.45,Y,4,36
155,EDUCATION,4,23,RENT,55000,B,25000,11.36,1,0.45,N,3,36
156,EDUCATION,4,23,RENT,55000,D,25000,15.65,1,0.45,Y,3,36
157,PERSONAL,8,24,RENT,55164,C,25000,13.22,1,0.45,Y,4,36
158,DEBTCONSOLIDATION,4,26,RENT,56000,C,25000,12.87,1,0.45,N,2,60
159,MEDICAL,8,24,OWN,203500,C,20000,13.04,0,0.1,N,3,36
160,EDUCATION,5,23,MORTGAGE,190000,F,22000,17.58,1,0.12,Y,3,60
161,PERSONAL,2,23,OWN,13920,E,7750,17.04,1,0.56,N,4,60
162,PERSONAL,0,24,RENT,60000,B,25000,10.99,1,0.42,N,3,60
163,PERSONAL,2,24,RENT,60000,B,25000,11.11,1,0.42,N,3,36
164,DEBTCONSOLIDATION,7,26,RENT,54000,D,25000,14.83,1,0.46,Y,2,60
165,DEBTCONSOLIDATION,2,23,OWN,14000,D,4000,20.25,1,0.29,N,3,36
166,MEDICAL,8,24,RENT,200000,B,12000,12.69,0,0.06,N,2,60
167,HOMEIMPROVEMENT,8,24,MORTGAGE,200000,C,12000,13.49,0,0.06,N,2,60
168,EDUCATION,5,21,MORTGAGE,200000,C,16000,14.65,0,0.08,N,4,36
169,HOMEIMPROVEMENT,3,25,RENT,54000,E,25000,16.82,1,0.46,N,4,36
170,PERSONAL,3,23,RENT,60000,C,25000,12.73,1,0.42,N,3,60
171,PERSONAL,7,23,RENT,60000,B,25000,10.25,1,0.42,N,4,60
172,EDUCATION,6,21,RENT,60000,B,25000,10.99,1,0.42,N,4,36
173,MEDICAL,9,25,RENT,61959,C,25000,12.73,1,0.4,N,2,60
174,HOMEIMPROVEMENT,2,22,RENT,56400,D,25000,14.96,1,0.44,Y,3,60
175,EDUCATION,7,23,MORTGAGE,200000,A,28000,18.25,0,0.14,N,2,36
176,DEBTCONSOLIDATION,2,21,MORTGAGE,200000,C,25000,13.99,0,0.13,N,2,60
177,VENTURE,3,24,MORTGAGE,200000,A,24000,7.49,0,0.12,N,4,36
178,EDUCATION,4,26,MORTGAGE,200000,C,15000,14.79,0,0.07,N,3,36
179,DEBTCONSOLIDATION,2,25,MORTGAGE,200000,B,15500,11.99,0,0.08,N,2,60
180,EDUCATION,8,24,RENT,200000,A,10000,8.49,0,0.05,N,4,36
181,EDUCATION,3,24,RENT,66000,B,25000,9.91,1,0.38,N,2,36
182,EDUCATION,6,22,RENT,66000,C,25000,13.06,1,0.38,Y,3,36
183,DEBTCONSOLIDATION,6,22,MORTGAGE,200000,A,9000,6.17,0,0.04,N,4,60
184,EDUCATION,4,144,MORTGAGE,200000,B,6000,11.86,0,0.03,N,2,36
185,EDUCATION,5,25,RENT,200000,D,18000,16.32,0,0.09,N,3,60
186,VENTURE,2,25,MORTGAGE,200000,B,12000,10.38,0,0.06,N,2,60
187,PERSONAL,9,25,MORTGAGE,200000,C,23050,14.35,0,0.12,N,3,36
188,DEBTCONSOLIDATION,8,24,MORTGAGE,200000,B,20000,10.99,0,0.1,N,3,60
189,DEBTCONSOLIDATION,2,24,RENT,60000,E,25000,7.49,1,0.42,Y,2,60
190,HOMEIMPROVEMENT,0,21,OWN,14400,B,3000,16.77,1,0.21,N,4,60
191,PERSONAL,10,26,RENT,66996,D,25000,15.21,1,0.37,Y,2,36
192,EDUCATION,3,23,RENT,67000,A,25000,7.9,1,0.37,N,4,60
193,VENTURE,2,24,RENT,67000,B,25000,10.99,1,0.37,N,3,60
194,PERSONAL,5,24,RENT,68000,D,25000,14.09,1,0.37,Y,3,36
195,PERSONAL,9,25,RENT,69000,D,25000,17.49,1,0.36,N,2,60
196,EDUCATION,0,25,MORTGAGE,200000,B,12000,11.48,0,0.06,N,3,60
197,VENTURE,10,26,MORTGAGE,188000,E,20000,17.74,1,0.11,N,2,36
198,PERSONAL,4,26,MORTGAGE,200000,C,3000,13.92,0,0.01,N,3,36
199,EDUCATION,9,25,RENT,69996,D,25000,15.21,1,0.36,N,3,36
200,MEDICAL,2,22,OWN,14400,B,4000,10.99,1,0.28,N,3,36
201,EDUCATION,3,24,RENT,70000,B,25000,11.86,1,0.36,N,4,60
202,PERSONAL,5,24,OWN,14400,A,6000,7.49,1,0.42,N,3,36
203,MEDICAL,7,24,RENT,56100,D,25000,16.49,1,0.38,N,4,36
204,VENTURE,9,25,RENT,66000,D,25000,15.33,1,0.38,Y,2,36
205,HOMEIMPROVEMENT,3,26,RENT,66000,B,25000,11.58,1,0.38,N,4,36
206,EDUCATION,7,25,OWN,14400,A,5375,5.79,1,0.37,N,2,60
207,MEDICAL,9,25,RENT,72612,C,25000,13.11,1,0.34,N,2,60
208,MEDICAL,3,23,RENT,74000,B,25000,10.36,1,0.34,N,3,36
209,DEBTCONSOLIDATION,9,25,RENT,75000,B,25000,10.36,1,0.33,N,2,36
210,MEDICAL,0,24,RENT,192000,C,22000,17.58,0,0.11,Y,2,36
211,VENTURE,123,21,MORTGAGE,192000,A,20000,6.54,0,0.1,N,4,60
212,MEDICAL,1,25,MORTGAGE,191000,B,10000,12.53,0,0.05,N,4,36
213,PERSONAL,5,26,MORTGAGE,190300,A,15000,7.29,0,0.08,N,3,60
214,VENTURE,3,22,MORTGAGE,190000,C,10000,14.54,0,0.05,N,3,36
215,EDUCATION,4,24,RENT,75000,B,25000,10.25,1,0.33,N,4,60
216,EDUCATION,1,22,RENT,71000,D,25000,15.95,1,0.35,Y,4,36
217,VENTURE,3,26,MORTGAGE,190000,B,20000,12.18,0,0.11,N,4,60
218,PERSONAL,0,23,OWN,189996,B,24000,11.83,0,0.13,N,3,36
219,DEBTCONSOLIDATION,7,23,RENT,78000,C,25000,12.68,1,0.32,Y,2,60
220,VENTURE,1,23,RENT,78000,B,25000,10.62,1,0.32,N,3,60
221,VENTURE,7,23,RENT,78504,B,25000,10.74,1,0.32,N,3,36
222,VENTURE,9,25,OWN,186000,B,10000,10.25,0,0.05,N,4,36
223,EDUCATION,,24,MORTGAGE,185000,B,35000,12.42,0,0.19,N,2,36
224,VENTURE,6,25,RENT,185000,C,15000,15.27,0,0.08,N,2,60
225,MEDICAL,8,24,RENT,62050,D,25000,15.33,1,0.34,Y,2,36
226,VENTURE,7,23,RENT,79416,D,25000,15.21,1,0.31,Y,2,36
227,VENTURE,4,21,OWN,14400,C,6250,14.72,1,0.43,N,2,60
228,PERSONAL,8,24,RENT,79631,D,25000,15.7,1,0.31,Y,2,36
229,EDUCATION,0,24,RENT,79632,C,25000,13.35,1,0.31,N,4,36
230,MEDICAL,0,21,MORTGAGE,14400,C,1500,17.74,0,0.1,N,4,36
231,EDUCATION,6,24,RENT,80000,A,25000,6.62,1,0.31,N,2,36
232,DEBTCONSOLIDATION,5,26,RENT,80000,C,25000,13.61,1,0.31,N,4,36
233,MEDICAL,4,22,RENT,185000,B,25000,11.36,0,0.14,N,2,36
234,PERSONAL,10,26,OWN,185000,A,5000,7.68,0,0.03,N,2,60
235,HOMEIMPROVEMENT,7,24,RENT,184992,D,22000,14.46,0,0.12,Y,4,36
236,EDUCATION,5,23,OWN,184000,B,2500,11.83,0,0.01,N,2,60
237,DEBTCONSOLIDATION,6,24,MORTGAGE,172000,C,20000,13.47,1,0.12,Y,4,36
238,MEDICAL,2,24,MORTGAGE,183000,B,20000,11.49,0,0.11,N,3,36
239,EDUCATION,3,22,MORTGAGE,183000,A,1000,9.32,0,0.01,N,2,60
240,PERSONAL,9,25,MORTGAGE,182952,A,15000,6.03,0,0.08,N,3,36
241,DEBTCONSOLIDATION,7,23,RENT,74004,E,25000,16.35,1,0.34,N,4,36
242,DEBTCONSOLIDATION,10,26,RENT,74004,D,25000,9.99,1,0.34,Y,4,36
243,DEBTCONSOLIDATION,5,25,RENT,81000,A,25000,7.29,1,0.31,N,3,60
244,MEDICAL,1,23,RENT,81600,B,25000,11.36,1,0.31,N,3,36
245,VENTURE,8,24,RENT,82000,B,25000,10.25,0,0.3,N,2,60
246,EDUCATION,5,24,RENT,83000,B,25000,11.12,0,0.3,N,3,36
247,PERSONAL,5,24,RENT,83000,D,25000,12.92,0,0.3,Y,3,36
248,EDUCATION,8,24,RENT,180000,E,18000,18.64,0,0.1,Y,4,36
249,PERSONAL,8,23,MORTGAGE,180000,A,28000,7.51,0,0.16,N,3,36
250,HOMEIMPROVEMENT,2,23,OWN,14400,E,4000,16.7,1,0.28,N,2,36
251,PERSONAL,0,22,OWN,14400,B,2100,11.14,0,0.15,N,4,60
252,PERSONAL,6,22,RENT,84500,F,25000,18.3,0,0.3,N,4,36
253,MEDICAL,5,24,RENT,85000,B,25000,10.62,0,0.29,N,4,36
254,VENTURE,7,24,MORTGAGE,180000,B,14000,11.99,0,0.08,N,2,36
255,VENTURE,2,26,MORTGAGE,180000,B,12000,9.63,0,0.07,N,4,36
256,MEDICAL,9,25,MORTGAGE,142800,F,10000,18.25,1,0.06,N,4,36
257,DEBTCONSOLIDATION,0,23,MORTGAGE,14664,C,6000,12.84,1,0.41,N,4,36
258,HOMEIMPROVEMENT,8,24,RENT,87000,D,25000,14.84,0,0.29,N,3,36
259,VENTURE,0,24,RENT,75000,E,25000,14.7,1,0.33,Y,3,36
260,DEBTCONSOLIDATION,7,23,RENT,76000,D,25000,16.02,1,0.33,N,4,36
261,MEDICAL,1,23,RENT,66215,D,25000,15.37,1,0.32,Y,2,36
262,MEDICAL,9,25,RENT,90000,B,25000,10.99,0,0.28,N,4,60
263,HOMEIMPROVEMENT,0,21,OWN,15000,A,6200,7.9,1,0.41,N,2,60
264,PERSONAL,2,26,OWN,180000,B,25000,10.99,0,0.14,N,4,36
265,EDUCATION,8,24,OWN,180000,B,21000,11.48,0,0.12,N,3,36
266,MEDICAL,9,25,OWN,180000,C,20000,14.26,0,0.11,Y,4,36
267,HOMEIMPROVEMENT,0,26,OWN,180000,A,10000,8,0,0.06,N,4,36
268,VENTURE,3,25,MORTGAGE,180000,B,9950,11.26,0,0.06,N,2,36
269,MEDICAL,7,23,OWN,15000,B,4475,11.12,1,0.3,N,4,60
270,VENTURE,2,23,RENT,78000,D,25000,16.32,1,0.32,Y,3,60
271,MEDICAL,3,25,RENT,66300,E,25000,17.93,1,0.32,Y,4,36
272,DEBTCONSOLIDATION,0,23,RENT,90000,B,25000,11.36,0,0.28,N,3,36
273,DEBTCONSOLIDATION,9,24,RENT,79000,D,25000,14.96,1,0.32,Y,4,36
274,PERSONAL,4,24,RENT,91800,C,25000,13.43,0,0.27,Y,3,36
275,HOMEIMPROVEMENT,6,25,RENT,92000,B,25000,12.69,0,0.27,N,3,36
276,VENTURE,1,24,RENT,92000,C,25000,12.73,0,0.27,Y,4,36
277,VENTURE,3,23,RENT,93600,D,25000,15.21,0,0.27,N,4,60
278,MEDICAL,1,23,MORTGAGE,15000,C,1750,12.68,0,0.12,Y,3,36
279,MEDICAL,3,23,RENT,70550,F,25000,19.04,1,0.3,Y,4,60
280,DEBTCONSOLIDATION,2,25,RENT,83800,D,25000,15.95,1,0.3,Y,3,36
281,VENTURE,3,26,MORTGAGE,175000,A,2600,8.9,0,0.01,N,4,36
282,HOMEIMPROVEMENT,10,25,MORTGAGE,175000,A,8000,7.9,0,0.05,N,2,36
283,EDUCATION,6,22,MORTGAGE,175000,B,18000,6.62,0,0.1,N,2,36
284,PERSONAL,8,23,MORTGAGE,175000,B,21000,11.99,0,0.12,N,3,60
285,DEBTCONSOLIDATION,4,23,OWN,15000,C,4000,13.98,1,0.27,N,4,36
286,VENTURE,4,23,OWN,15000,B,4600,10.99,1,0.31,N,2,36
287,DEBTCONSOLIDATION,6,22,RENT,88000,D,25000,15.58,1,0.28,Y,2,60
288,MEDICAL,2,25,RENT,74800,B,25000,10.99,1,0.28,N,2,36
289,VENTURE,0,25,RENT,88000,D,25000,14.96,1,0.28,N,4,36
290,HOMEIMPROVEMENT,2,25,OWN,15000,D,1750,15.31,0,0.12,Y,4,36
291,VENTURE,2,26,RENT,88000,D,25000,15.65,1,0.28,N,3,36
292,VENTURE,1,25,RENT,100000,B,25000,9.33,0,0.25,N,4,60
293,PERSONAL,0,23,MORTGAGE,15000,C,3600,13.47,1,0.24,N,4,36
294,PERSONAL,8,24,RENT,102400,B,25000,10.36,0,0.24,N,3,36
295,HOMEIMPROVEMENT,1,24,RENT,92000,E,25000,16.77,1,0.27,Y,4,36
296,DEBTCONSOLIDATION,0,23,RENT,93000,D,25000,14.59,1,0.27,Y,2,60
297,VENTURE,6,22,RENT,175000,C,3500,11.91,0,0.02,Y,2,60
298,EDUCATION,3,23,MORTGAGE,175000,A,7200,8.38,0,0.04,N,3,60
299,VENTURE,9,25,RENT,174708,B,9000,10.59,0,0.05,N,3,60
300,DEBTCONSOLIDATION,2,25,MORTGAGE,174000,C,8800,14.27,0,0.05,N,3,60
301,DEBTCONSOLIDATION,8,26,RENT,174000,B,12000,12.53,0,0.07,N,4,36
302,DEBTCONSOLIDATION,5,25,MORTGAGE,162000,E,25000,16,1,0.15,Y,3,36
303,VENTURE,10,26,MORTGAGE,173467,B,10000,11.71,0,0.06,N,4,60
304,HOMEIMPROVEMENT,0,21,OWN,15000,C,3175,11.54,1,0.21,Y,3,36
305,HOMEIMPROVEMENT,2,25,RENT,96000,E,25000,15.68,1,0.26,Y,4,36
306,EDUCATION,0,21,MORTGAGE,15120,B,1500,10.59,0,0.1,N,2,36
307,HOMEIMPROVEMENT,8,24,RENT,97908,D,25000,12.61,1,0.26,Y,2,60
308,PERSONAL,3,26,RENT,110000,C,25000,14.17,0,0.23,Y,2,60
309,PERSONAL,7,23,MORTGAGE,15204,A,2800,8.49,1,0.18,N,3,36
310,PERSONAL,0,25,RENT,159600,D,30000,17.27,1,0.19,Y,4,36
311,DEBTCONSOLIDATION,6,24,RENT,171500,A,18000,8.9,0,0.1,N,4,36
312,MEDICAL,3,25,MORTGAGE,170004,B,10000,11.11,0,0.06,N,4,36
313,HOMEIMPROVEMENT,0,24,RENT,158004,D,25000,14.59,1,0.16,Y,2,36
